nohup: ignoring input
Step 1: Waiting for training to complete...
Mon Mar 16 23:03:47 IST 2026: Training 2/18
Mon Mar 16 23:08:47 IST 2026: Training 2/18
Mon Mar 16 23:13:47 IST 2026: Training 2/18
Mon Mar 16 23:18:47 IST 2026: Training 2/18
Mon Mar 16 23:23:47 IST 2026: Training 2/18
Mon Mar 16 23:28:47 IST 2026: Training 2/18
Mon Mar 16 23:33:47 IST 2026: Training 2/18
Mon Mar 16 23:38:47 IST 2026: Training 2/18
Mon Mar 16 23:43:48 IST 2026: Training 2/18
Mon Mar 16 23:48:48 IST 2026: Training 2/18
Mon Mar 16 23:53:48 IST 2026: Training 2/18
Mon Mar 16 23:58:48 IST 2026: Training 2/18
Tue Mar 17 00:03:48 IST 2026: Training 2/18
Tue Mar 17 00:08:48 IST 2026: Training 2/18
Tue Mar 17 00:13:48 IST 2026: Training 2/18
Tue Mar 17 00:18:48 IST 2026: Training 2/18
Tue Mar 17 00:23:48 IST 2026: Training 2/18
Tue Mar 17 00:28:48 IST 2026: Training 2/18
Tue Mar 17 00:33:48 IST 2026: Training 2/18
Tue Mar 17 00:38:48 IST 2026: Training 2/18
Tue Mar 17 00:43:48 IST 2026: Training 2/18
Tue Mar 17 00:48:49 IST 2026: Training 2/18
Tue Mar 17 00:53:49 IST 2026: Training 2/18
Tue Mar 17 00:58:49 IST 2026: Training 2/18
Tue Mar 17 01:03:49 IST 2026: Training 2/18
Tue Mar 17 01:08:49 IST 2026: Training 2/18
Tue Mar 17 01:13:49 IST 2026: Training 2/18
Tue Mar 17 01:18:49 IST 2026: Training 2/18
Tue Mar 17 01:23:49 IST 2026: Training 2/18
Tue Mar 17 01:28:49 IST 2026: Training 2/18
Tue Mar 17 01:33:49 IST 2026: Training 2/18
Tue Mar 17 01:38:50 IST 2026: Training 2/18
Tue Mar 17 01:43:50 IST 2026: Training 2/18
Tue Mar 17 01:48:50 IST 2026: Training 2/18
Tue Mar 17 01:53:50 IST 2026: Training 2/18
Tue Mar 17 01:58:50 IST 2026: Training 2/18
Tue Mar 17 02:03:50 IST 2026: Training 2/18
Tue Mar 17 02:08:50 IST 2026: Training 2/18
Tue Mar 17 02:13:50 IST 2026: Training 2/18
Tue Mar 17 02:18:51 IST 2026: Training 2/18
Tue Mar 17 02:24:23 IST 2026: Training 2/18
Tue Mar 17 02:29:23 IST 2026: Training 2/18
Tue Mar 17 02:34:23 IST 2026: Training 2/18
Tue Mar 17 02:39:24 IST 2026: Training 2/18
Tue Mar 17 02:44:24 IST 2026: Training 2/18
Tue Mar 17 02:49:24 IST 2026: Training 2/18
Tue Mar 17 02:54:24 IST 2026: Training 2/18
Tue Mar 17 02:59:24 IST 2026: Training 2/18
Tue Mar 17 03:04:24 IST 2026: Training 2/18
Tue Mar 17 03:09:24 IST 2026: Training 2/18
Tue Mar 17 03:14:24 IST 2026: Training 2/18
Tue Mar 17 03:19:24 IST 2026: Training 2/18
Tue Mar 17 03:24:24 IST 2026: Training 2/18
Tue Mar 17 03:29:24 IST 2026: Training 2/18
Tue Mar 17 03:34:24 IST 2026: Training 2/18
Tue Mar 17 03:39:24 IST 2026: Training 2/18
Tue Mar 17 03:44:24 IST 2026: Training 2/18
Tue Mar 17 03:49:25 IST 2026: Training 2/18
Tue Mar 17 03:54:25 IST 2026: Training 2/18
Tue Mar 17 03:59:25 IST 2026: Training 2/18
Tue Mar 17 04:04:25 IST 2026: Training 2/18
Tue Mar 17 04:09:25 IST 2026: Training 2/18
Tue Mar 17 04:14:25 IST 2026: Training 2/18
Tue Mar 17 04:19:25 IST 2026: Training 2/18
Tue Mar 17 04:24:25 IST 2026: Training 2/18
Tue Mar 17 04:29:25 IST 2026: Training 2/18
Tue Mar 17 04:34:25 IST 2026: Training 2/18
Tue Mar 17 04:39:25 IST 2026: Training 2/18
Tue Mar 17 04:44:25 IST 2026: Training 2/18
Tue Mar 17 04:49:25 IST 2026: Training 2/18
Tue Mar 17 04:54:25 IST 2026: Training 2/18
Tue Mar 17 04:59:26 IST 2026: Training 2/18
Tue Mar 17 05:04:26 IST 2026: Training 2/18
Tue Mar 17 05:09:26 IST 2026: Training 2/18
Tue Mar 17 05:14:26 IST 2026: Training 2/18
Tue Mar 17 05:19:26 IST 2026: Training 2/18
Tue Mar 17 05:24:26 IST 2026: Training 2/18
Tue Mar 17 05:29:26 IST 2026: Training 2/18
Tue Mar 17 05:34:26 IST 2026: Training 2/18
Tue Mar 17 05:39:26 IST 2026: Training 2/18
Tue Mar 17 05:44:26 IST 2026: Training 2/18
Tue Mar 17 05:49:26 IST 2026: Training 2/18
Tue Mar 17 05:54:26 IST 2026: Training 2/18
Tue Mar 17 05:59:26 IST 2026: Training 2/18
Tue Mar 17 06:11:35 IST 2026: Training 2/18
Tue Mar 17 06:24:17 IST 2026: Training 2/18
Tue Mar 17 06:32:04 IST 2026: Training 2/18
Tue Mar 17 06:42:03 IST 2026: Training 2/18
Tue Mar 17 06:47:03 IST 2026: Training 2/18
Tue Mar 17 06:59:24 IST 2026: Training 2/18
Tue Mar 17 07:04:24 IST 2026: Training 2/18
Tue Mar 17 07:09:24 IST 2026: Training 2/18
Tue Mar 17 07:14:26 IST 2026: Training 2/18
Tue Mar 17 07:19:27 IST 2026: Training 2/18
Tue Mar 17 07:39:20 IST 2026: Training 2/18
Tue Mar 17 07:44:20 IST 2026: Training 2/18
Tue Mar 17 07:49:20 IST 2026: Training 2/18
